range pdist qdist16 qdist23 qdistAstral16 qdistAstral23
004_007 5.8925 0.402914285714286 0.367319047619048 0.552381 0.228571
004_007 6.9425 0.276161904761905 0.27544761904762 0.452381 0.557143
004_007 6.22227272727273 0.550209523809524 0.590309523809524 0.433333 0.585714
004_007 6.88482758620689 0.257052380952382 0.234738095238095 0.557143 0.62381
004_007 6.81307692307692 0.558280952380953 0.524276190476191 0.72381 0.738095
004_007 5.95347826086957 0.309661904761906 0.114004761904762 0.319048 0.509524
004_007 5.746 0.57525238095238 0.365009523809525 0.72381 0.714286
004_007 7.11217391304348 0.339909523809523 0.256900000000001 0.547619 0.614286
004_007 5.73933333333333 0.545619047619049 0.46805238095238 0.6 0.57619
004_007 6.23764705882353 0.322552380952381 0.109157142857143 0.414286 0.585714
004_007 5.16454545454545 0.560333333333333 0.495957142857143 0.661905 0.404762
004_007 8.07470588235294 0.435119047619048 0.454738095238095 0.661905 0.633333
004_007 6.38357142857143 0.312480952380954 0.106780952380953 0.433333 0.566667
004_007 5.90787878787879 0.447871428571428 0.405171428571429 0.709524 0.633333
004_007 5.63764705882353 0.472233333333333 0.441571428571429 0.704762 0.657143
004_007 6.02461538461538 0.494042857142856 0.278085714285714 0.780952 0.742857
004_007 6.25230769230769 0.312242857142859 0.106780952380953 0.433333 0.566667
004_007 6.7548275862069 0.326119047619047 0.32462380952381 0.480952 0.609524
004_007 5.985 0.630866666666667 0.547880952380952 0.714286 0.52381
004_007 6.3265625 0.460004761904762 0.404014285714286 0.609524 0.704762
004_007 5.51 0.426361904761905 0.454623809523809 0.695238 0.404762
004_007 7.84314285714286 0.493195238095238 0.445442857142857 0.685714 0.719048
004_007 6.316 0.507252380952382 0.508542857142857 0.647619 0.719048
004_007 6.03484848484849 0.463357142857142 0.34892380952381 0.595238 0.733333
004_007 6.75590909090909 0.512385714285714 0.527757142857143 0.795238 0.695238
004_007 6.14966666666667 0.638371428571428 0.437371428571429 0.72381 0.7
004_007 7.06259259259259 0.357957142857143 0.371333333333333 0.514286 0.680952
004_007 6.72952380952381 0.509242857142857 0.329914285714286 0.685714 0.738095
004_007 6.88692307692308 0.511214285714286 0.507614285714286 0.719048 0.538095
004_007 6.16310344827586 0.524866666666667 0.549257142857144 0.695238 0.661905
004_007 6.71935483870968 0.273085714285716 0.209319047619048 0.580952 0.628571
004_007 7.60783783783784 0.478547619047619 0.467909523809524 0.580952 0.695238
004_007 8.08090909090909 0.505404761904761 0.433571428571428 0.747619 0.47619
004_007 5.9885 0.650985714285715 0.398933333333334 0.704762 0.766667
005_008 8.37633333333333 0.45232380952381 0.480157142857143 0.695238 0.504762
005_008 7.68208333333333 0.378552380952381 0.388128571428571 0.614286 0.77619
005_008 7.9525 0.450580952380952 0.304933333333333 0.647619 0.733333
005_008 8.21192307692307 0.42124761904762 0.288176190476191 0.657143 0.52381
005_008 6.40296296296296 0.510547619047619 0.580261904761905 0.471429 0.57619
005_008 7.73392857142857 0.255114285714286 0.382514285714286 0.728571 0.652381
005_008 7.89 0.44584761904762 0.266761904761905 0.585714 0.685714
005_008 7.2015625 0.492104761904762 0.247371428571428 0.633333 0.595238
005_008 6.58409090909091 0.5072 0.472009523809524 0.42381 0.533333
005_008 6.15227272727273 0.52432380952381 0.542252380952382 0.561905 0.619048
005_008 6.55181818181818 0.637080952380953 0.4279 0.652381 0.690476
005_008 6.76416666666667 0.450423809523808 0.341409523809524 0.557143 0.695238
005_008 7.01466666666667 0.499709523809524 0.324719047619047 0.714286 0.561905
005_008 6.8969696969697 0.464271428571428 0.521380952380953 0.490476 0.733333
005_008 5.91 0.482595238095238 0.551504761904762 0.642857 0.604762
005_008 7.56038461538462 0.416938095238095 0.372861904761906 0.652381 0.738095
005_008 7.761875 0.309747619047619 0.409452380952381 0.685714 0.733333
005_008 7.33388888888889 0.306228571428572 0.361738095238095 0.685714 0.761905
005_008 6.59473684210526 0.480814285714286 0.505638095238095 0.680952 0.547619
005_008 8.2675 0.316 0.276028571428571 0.657143 0.62381
005_008 7.47736842105263 0.413142857142858 0.366490476190477 0.580952 0.671429
005_008 9.50666666666667 0.482804761904762 0.364971428571428 0.528571 0.790476
005_008 7.40105263157894 0.393204761904762 0.363714285714286 0.72381 0.657143
005_008 6.37631578947369 0.468138095238095 0.57092380952381 0.638095 0.752381
005_008 6.84464285714286 0.371052380952381 0.468147619047619 0.442857 0.62381
005_008 6.77 0.595052380952382 0.358566666666667 0.533333 0.533333
005_008 7.01466666666667 0.499709523809524 0.324719047619047 0.714286 0.561905
005_008 6.44757575757576 0.530409523809523 0.416633333333333 0.690476 0.552381
005_008 6.8725 0.400590476190477 0.384038095238096 0.757143 0.714286
005_008 7.1048 0.590014285714286 0.444719047619047 0.395238 0.719048
005_008 6.41486486486486 0.497814285714286 0.365252380952381 0.585714 0.680952
005_008 8.19133333333333 0.419400000000001 0.581533333333335 0.666667 0.633333
005_008 7.24424242424242 0.460399999999999 0.326357142857142 0.566667 0.585714
005_008 8.26 0.43782380952381 0.553157142857142 0.695238 0.680952
005_008 7.03625 0.489966666666667 0.270628571428572 0.752381 0.642857
005_008 7.78947368421053 0.254790476190476 0.346985714285715 0.757143 0.67619
005_008 9.3512 0.463004761904762 0.537261904761906 0.719048 0.704762
005_008 7.45275862068966 0.344042857142858 0.337757142857144 0.62381 0.690476
005_008 7.65387096774194 0.362433333333333 0.370295238095239 0.642857 0.62381
005_008 7.69291666666667 0.248652380952382 0.250957142857143 0.585714 0.57619
005_008 9.074 0.440819047619047 0.410209523809524 0.685714 0.761905
005_008 9.35035714285714 0.530985714285715 0.428209523809524 0.685714 0.77619
005_008 8.11923076923077 0.473880952380953 0.392514285714285 0.695238 0.738095
005_008 7.01892857142857 0.357809523809524 0.299690476190477 0.47619 0.447619
005_008 8.02451612903226 0.396290476190476 0.514552380952381 0.657143 0.690476
005_008 9.6756 0.51837619047619 0.503619047619048 0.609524 0.614286
005_008 7.73615384615384 0.339952380952381 0.354238095238096 0.671429 0.77619
005_008 8.27041666666667 0.407019047619048 0.508961904761905 0.72381 0.561905
005_008 6.56416666666667 0.585080952380953 0.509119047619048 0.366667 0.614286
005_008 7.66241379310345 0.415342857142857 0.446309523809524 0.652381 0.709524
006_009 8.65133333333333 0.459090476190476 0.240842857142857 0.785714 0.757143
006_009 9.37529411764706 0.444971428571429 0.387304761904762 0.7 0.752381
006_009 9.43227272727272 0.4547 0.409957142857143 0.557143 0.652381
006_009 7.83533333333333 0.400580952380953 0.424085714285715 0.747619 0.714286
