"","GND","Low","Med","Hi","real_mean","real_count"
"44",4.45,0.233596967163738,0.163983497268368,0.114531542858781,0.261759050521475,122
"45",4.55,0.223825966498763,0.15424375513187,0.105544871137839,0.253809557576924,178
"46",4.65,0.214547015756102,0.145138203340477,0.0972931297992027,0.244065888266322,192
"47",4.75,0.205732948193119,0.136624476977856,0.0897167784358986,0.232103026213854,236
"48",4.85,0.197358030174529,0.128662764152222,0.0827605682140797,0.216435847311606,241
"49",4.95,0.189397918959594,0.121215732103983,0.0763733709649281,0.205553322401367,304
"50",5.05,0.181829614978826,0.114248435778361,0.0705079801683799,0.199797731494488,280
"51",5.15,0.174631408088953,0.107728214420623,0.0651208947332264,0.18765780837237,269
"52",5.25,0.167782821313721,0.101624581001101,0.0601720939779417,0.175287481396558,255
"53",5.35,0.161264552934501,0.0959091073684656,0.055624810195085,0.15990484630515,187
"54",5.45,0.155058418106335,0.0905553083884214,0.0514453035591889,0.148942901774635,161
"55",5.55,0.149147290853766,0.0855385267471515,0.0476026428456989,0.13392916337662,125
"56",5.65,0.143515047081028,0.0808358200628957,0.0440684944069184,0.123830285670753,90
"57",5.75,0.13814650922665,0.0764258515853929,0.0408169210554428,0.117072131633583,99
"58",5.85,0.133027391920313,0.0722887840191594,0.0378241918705798,0.0988662040967855,82
"59",5.95,0.128144251467587,0.0684061802704415,0.0350686036065794,0.107902697301444,99
"60",6.05,0.123484435667736,0.0647609068225185,0.0325303131619656,0.0934793599597062,88
"61",6.15,0.119036036950412,0.0613370435671605,0.0301911829436603,0.0954043540035563,88
"62",6.25,0.114787847637963,0.0581197985828497,0.0280346361481425,0.110655162097982,98
"63",6.35,0.110729317549348,0.0550954280882723,0.0260455237175578,0.103390137175029,104
"64",6.45,0.106850513914397,0.0522511614585986,0.0242100015368144,0.0934998366706056,80
"65",6.55,0.103142083544996,0.049575131143422,0.0225154174777104,0.102084905751002,99
"66",6.65,0.0995952171936542,0.0470563072914581,0.0209502076967867,0.0903383915772447,95
"67",6.75,0.0962016160184778,0.0446844368647741,0.0195038015813377,0.0833157762693365,96
"68",6.85,0.0929534600659986,0.0424499870119575,0.0181665347405202,0.0739087973737972,102
"69",6.95,0.0898433786786806,0.0403440924632125,0.0169295694518618,0.0666448212357929,109
"70",7.05,0.086864422731624,0.0383585067092015,0.0157848219942128,0.0651659663479215,79
"71",7.15,0.0840100386025173,0.0364855567282689,0.0147248963242518,0.0629409716749864,122
"72",7.25,0.0812740437796129,0.0347181010323989,0.0137430235828405,0.0561567751709465,90
"73",7.35,0.0786506040148758,0.0330494908100698,0.0128330069485484,0.0507426503948753,105
"74",7.45,0.0761342119311194,0.0314735339535463,0.011989171387395,0.0545763654808483,108
"75",7.55,0.0737196669965714,0.0299844617679875,0.0112063178794932,0.0499696207717546,104
"76",7.65,0.071402056782466,0.0285768981710752,0.0104796817342416,0.0432485533038925,114
"77",7.75,0.0691767394240503,0.0272458312022535,0.00980489463558741,0.042347717151097,102
"78",7.85,0.0670393272088719,0.0259865866719344,0.00917795008739755,0.0427377895508671,122
"79",7.95,0.064985671220324,0.024794803791961,0.00859517195594711,0.0387549758848737,93
"80",8.05,0.06301184696837,0.0236664126386547,0.00805318583185685,0.0384008255371841,97
"81",8.15,0.0611141409432649,0.0225976133104458,0.00754889295759531,0.0299026534400097,103
"82",8.25,0.0592890380318903,0.021584856651423,0.00707944648822116,0.0314724017072465,99
"83",8.35,0.0575332097399824,0.0206248264214547,0.00664222987425152,0.0272593805868833,80
"84",8.45,0.0558435031670574,0.0197144228022145,0.00623483717324416,0.0249554200996531,89
"85",8.55,0.0542169306842051,0.0188507471366291,0.00585505511480666,0.0279255179258765,57
"86",8.65,0.052650660268121,0.0180310878069387,0.00550084675915947,0.0251893251392077,55
"87",8.75,0.0511420064477829,0.0172529071637349,0.00517033660400811,0.0264619262711179,71
"88",8.85,0.0496884218324916,0.016513829425033,0.00486179700772171,0.0254391973137674,72
"89",8.95,0.0482874891266073,0.0158116294706572,0.00457363580891297,0.0201391914913453,74
"90",9.05,0.0469369137370379,0.0151442224629986,0.00430438503354018,0.022022084526016,73
"91",9.15,0.0456345167424785,0.0145096542305644,0.00405269059068924,0.0247369727755003,74
"92",9.25,0.0443782283910513,0.013906092355697,0.00381730286732201,0.0233663101478429,97
"93",9.35,0.0431660819002984,0.0133318179124363,0.00359706814057327,0.0162209270367224,115
"94",9.45,0.0419962077302032,0.0127852178046913,0.00339092073371272,0.0141184339630504,99
"95",9.55,0.0408668281630409,0.0122647776589535,0.00319787584872588,0.0141592988734208,67
"96",9.65,0.0397762522233299,0.0117690752290877,0.00301702301467286,0.0151004884761961,61
"97",9.75,0.0387228709067772,0.0112967742744387,0.00284752009660867,0.0192811273540573,43
"98",9.85,0.03770515269803,0.0108466188752596,0.00268858781495668,0.0187103047908839,34
"99",9.95,0.0367216393584174,0.0104174281524317,0.00253950472980752,0.0192207260245323,34
"100",10.05,0.0357709419661609,0.01000809136101,0.00239960264895352,0.0150533680143839,37
"101",10.15,0.0348517371927208,0.00961756332951532,0.00226826242197296,0.0188114827529234,49
"102",10.25,0.0339627638000684,0.00924486021910136,0.00214491008648631,0.0149494867739224,49
"103",10.35,0.0331028193447008,0.00888905557874409,0.00202901333553117,0.0138730865999071,40
"104",10.45,0.0322707570751842,0.0085492766744639,0.00192007827797603,0.013512964976831,63
"105",10.55,0.0314654830109071,0.00822470107230481,0.00181764646640753,0.0158141586927693,47
"106",10.65,0.0306859531905603,0.00791455345636754,0.00172129216926617,0.0126247265256352,60
"107",10.75,0.0299311710796064,0.00761810266464485,0.00163061986608366,0.0126526592363722,72
"108",10.85,0.0292001851268074,0.00733465892673854,0.00154526194661035,0.0131284529052423,72
"109",10.95,0.0284920864604183,0.00706357128876446,0.00146487659633289,0.0152062388800249,77
"110",11.05,0.0278060067249626,0.00680422521188011,0.00138914585245758,0.0204306198012071,58
"111",11.15,0.0271411159930857,0.00655604033190726,0.00131777381585661,0.022087038273155,79
"112",11.25,0.026496620888237,0.00631846836847727,0.00125048500576611,0.0190401400384689,42
"113",11.35,0.0258717627201186,0.00609099117300681,0.00118702284519672,0.0176251536403315,54
"114",11.45,0.0252658157694297,0.00587311890562629,0.00112714826608149,0.0152004366264152,41
"115",11.55,0.0246780856585616,0.00566438833188028,0.00107063842415254,0.0166860606714638,65
"116",11.65,0.0241079078118463,0.00546436123089552,0.00101728551441519,0.0191153028291927,58
"117",11.75,0.0235546460001721,0.00527262290691262,0.000966895678886651,0.0189409630567283,55
"118",11.85,0.0230176909647546,0.00508878079730383,0.000919287998990811,0.0187529106891404,56
"119",11.95,0.0224964591154104,0.00491246317006728,0.000874293565660507,0.015580905473147,53
"120",12.05,0.0219903912988994,0.0047433179047995,0.000831754620800056,0.0162295935971017,71
"121",12.15,0.0214989516332036,0.00458101135163505,0.000791523764292224,0.0179909427296314,57
"122",12.25,0.021021626403868,0.00442522725623891,0.000753463221271681,0.0143989888006436,69
"123",12.35,0.0205579230187784,0.00427566578281107,0.000717444164782747,0.0136909338554057,69
"124",12.45,0.020107369017979,0.00413204252930351,0.000683346089376162,0.0119941248816109,79
"125",12.55,0.0196695111353462,0.00399408769140959,0.000651056231610007,0.0137131600852563,83
"126",12.65,0.019243914409134,0.00386154521532088,0.000620469033698732,0.0126871354815801,91
"127",12.75,0.0188301613385885,0.00373417202733833,0.000591485646937015,0.0105972737914695,101
"128",12.85,0.0184278510840383,0.00361173730681262,0.000564013471609709,0.0118009049396068,118
"129",12.95,0.0180365987079192,0.00349402180351593,0.000537965730915093,0.011547835359005,120
"130",13.05,0.0176560344545277,0.00338081719651452,0.000513261075718705,0.0125926758768216,129
"131",13.15,0.017285803066255,0.00327192549181826,0.000489823218267046,0.0113073468051857,163
"132",13.25,0.0169255631342951,0.00316715845627459,0.000467580592109146,0.0124076646095225,135
"133",13.35,0.0165749864819085,0.00306633708535101,0.000446466036723911,0.0107624946561987,168
"134",13.45,0.0162337575784424,0.00296929110261426,0.000426416504599573,0.0106038132379059,213
"135",13.55,0.0159015729824175,0.00287585848886608,0.000407372789199839,0.0103900328306835,243
"136",13.65,0.0155781408120914,0.00278588503903599,0.000389279272210085,0.00925877574562149,232
"137",13.75,0.0152631802420042,0.0026992239450601,0.000372083688609316,0.00904414377258476,265
"138",13.85,0.0149564210240995,0.00261573540310784,0.000355736908229721,0.00818519579083843,296
