"variable","GND","type","data","alpha","model"
"X98",17.65,"real",0.00010100834040401,"Hi",2.47226911452004e-05
"X98",17.75,"real",9.75678072946521e-05,"Hi",2.380653281591e-05
"X98",17.85,"real",7.61827066929923e-05,"Hi",2.29284477601033e-05
"X98",17.95,"real",6.50303596056613e-05,"Hi",2.20866847487811e-05
"X98",18.05,"real",5.15866555893481e-05,"Hi",2.12795807682172e-05
"X98",18.15,"real",3.83910382211068e-05,"Hi",2.05055561956162e-05
"X98",18.25,"real",3.9690331310028e-05,"Hi",1.97631102591206e-05
"X98",18.35,"real",2.64573802497833e-05,"Hi",1.9050816764216e-05
"X98",18.45,"real",2.09350078594738e-05,"Hi",1.83673200697912e-05
"X98",18.55,"real",1.05493768321427e-05,"Hi",1.77113312982309e-05
"X98",18.65,"real",1.22201290252651e-05,"Hi",1.70816247649601e-05
"X98",18.75,"real",6.60063201959726e-06,"Hi",1.64770346138271e-05
"X98",18.85,"real",2.53449892972469e-06,"Hi",1.58964516456129e-05
"X98",18.95,"real",0,"Hi",1.53388203277898e-05
"X98",19.05,"real",9.71989524228804e-07,"Hi",1.48031359744309e-05
"X98",19.15,"real",7.33240929378807e-07,"Hi",1.42884420858979e-05
"X98",19.25,"real",9.68232988593343e-07,"Hi",1.37938278386055e-05
"X98",19.35,"real",9.10826996191507e-07,"Hi",1.33184257157917e-05
"X98",19.45,"real",0,"Hi",1.28614092708057e-05
"X98",19.55,"real",0,"Hi",1.24219910149698e-05
"X98",19.65,"real",0,"Hi",1.19994204225716e-05
"X98",19.75,"real",0,"Hi",1.15929820460767e-05
"X98",19.85,"real",0,"Hi",1.12019937349091e-05
"X98",19.95,"real",0,"Hi",1.08258049518748e-05
"X98",2.05,"real",0.568558876774842,"Hi",0.546655979254479
"X98",2.05,"simulated",0.510533601291106,"Hi",0.552638844405298
"X98",2.15,"real",0.539582991900858,"Hi",0.502590265920476
"X98",2.15,"simulated",0.470201857595431,"Hi",0.51234586127718
"X98",2.25,"real",0.527229941303296,"Hi",0.460766061673592
"X98",2.25,"simulated",0.432306542193005,"Hi",0.474067565087794
"X98",2.35,"real",0.496655904524397,"Hi",0.42141014244845
"X98",2.35,"simulated",0.40103332061687,"Hi",0.437952544558797
"X98",2.45,"real",0.474872509020505,"Hi",0.384643825448289
"X98",2.45,"simulated",0.374612041486571,"Hi",0.404072714847492
"X98",2.55,"real",0.473853560214839,"Hi",0.350504748284236
"X98",2.55,"simulated",0.342610484104673,"Hi",0.372440210617056
"X98",2.65,"real",0.471357305235708,"Hi",0.318966413804494
"X98",2.65,"simulated",0.318517777538327,"Hi",0.343021959012723
"X98",2.75,"real",0.432928547422871,"Hi",0.289954990997138
"X98",2.75,"simulated",0.293102882042173,"Hi",0.315751863742036
"X98",2.85,"real",0.422179834444187,"Hi",0.263363282066757
"X98",2.85,"simulated",0.273715746938789,"Hi",0.290540736796406
"X98",2.95,"real",0.415338436263655,"Hi",0.239062013140605
"X98",2.95,"simulated",0.249626185242391,"Hi",0.267284218389869
"X98",20.05,"real",0,"Hi",1.04637951812998e-05
"X98",20.15,"real",0,"Hi",1.01153724237516e-05
"X98",20.25,"real",0,"Hi",9.77997177205736e-06
"X98",20.35,"real",0,"Hi",9.45705406408063e-06
"X98",20.45,"real",0,"Hi",9.14610460775417e-06
"X98",20.55,"real",0,"Hi",8.84663197422688e-06
"X98",20.65,"real",0,"Hi",8.55816685522181e-06
"X98",20.75,"real",0,"Hi",8.28026098094418e-06
"X98",20.85,"real",0,"Hi",8.01248609509706e-06
"X98",20.95,"real",0,"Hi",7.75443298377495e-06
"X98",21.05,"real",0,"Hi",7.50571055519779e-06
"X98",21.15,"real",0,"Hi",7.26594496743143e-06
"X98",21.25,"real",0,"Hi",7.03477880141144e-06
"X98",21.35,"real",0,"Hi",6.81187027674704e-06
"X98",21.45,"real",0,"Hi",6.59689250793196e-06
"X98",21.55,"real",0,"Hi",6.38953279872929e-06
"X98",21.65,"real",0,"Hi",6.18949197262927e-06
"X98",21.75,"real",0,"Hi",5.99648373740244e-06
"X98",21.85,"real",0,"Hi",5.81023408188849e-06
"X98",21.95,"real",0,"Hi",5.63048070324562e-06
"X98",22.05,"real",0,"Hi",5.45697246306592e-06
"X98",22.15,"real",0,"Hi",5.28946887072389e-06
"X98",22.25,"real",0,"Hi",5.12773959254751e-06
"X98",22.35,"real",0,"Hi",4.97156398540807e-06
"X98",22.45,"real",0,"Hi",4.82073065342621e-06
"X98",22.55,"real",0,"Hi",4.6750370265712e-06
"X98",22.65,"real",0,"Hi",4.53428895998556e-06
"X98",22.75,"real",0,"Hi",4.39830035294739e-06
"X98",22.85,"real",0,"Hi",4.26689278643545e-06
"X98",22.95,"real",0,"Hi",4.13989517832301e-06
"X98",23.05,"real",0,"Hi",4.01714345528053e-06
"X98",23.15,"real",0,"Hi",3.89848024051837e-06
"X98",23.25,"real",0,"Hi",3.78375455654909e-06
"X98",23.35,"real",0,"Hi",3.67282154219407e-06
"X98",23.45,"real",0,"Hi",3.56554218310208e-06
"X98",23.55,"real",0,"Hi",3.46178305508746e-06
"X98",23.65,"real",0,"Hi",3.36141607963358e-06
"X98",23.75,"real",0,"Hi",3.2643182909427e-06
"X98",23.85,"real",0,"Hi",3.17037161394727e-06
"X98",23.95,"real",0,"Hi",3.07946265272889e-06
"X98",24.05,"real",0,"Hi",2.9914824888216e-06
"X98",24.15,"real",0,"Hi",2.90632648890359e-06
"X98",24.25,"real",0,"Hi",2.82389412140861e-06
"X98",24.35,"real",0,"Hi",2.74408878161291e-06
"X98",24.45,"real",0,"Hi",2.66681762477736e-06
"X98",24.55,"real",0,"Hi",2.59199140694652e-06
"X98",24.65,"real",0,"Hi",2.5195243330277e-06
"X98",24.75,"real",0,"Hi",2.44933391179243e-06
"X98",24.85,"real",0,"Hi",2.38134081746221e-06
"X98",24.95,"real",0,"Hi",2.31546875755645e-06
"X98",25.05,"real",0,"Hi",2.25164434670089e-06
"X98",25.15,"real",0,"Hi",2.18979698613917e-06
"X98",25.25,"real",0,"Hi",2.12985874843668e-06
"X98",25.35,"real",0,"Hi",2.07176426783522e-06
"X98",25.45,"real",0,"Hi",2.01545063481441e-06
"X98",25.55,"real",0,"Hi",1.96085729582452e-06
"X98",25.65,"real",0,"Hi",1.90792595724998e-06
"X98",25.75,"real",0,"Hi",1.85660049363318e-06
"X98",25.85,"real",0,"Hi",1.80682685992427e-06
"X98",25.95,"real",0,"Hi",1.75855300756767e-06
"X98",26.05,"real",0,"Hi",1.7117288042449e-06
"X98",26.15,"real",0,"Hi",1.66630595710284e-06
"X98",26.25,"real",0,"Hi",1.62223793930493e-06
"X98",26.35,"real",0,"Hi",1.57947991975068e-06
"X98",26.45,"real",0,"Hi",1.53798869581704e-06
"X98",26.55,"real",0,"Hi",1.49772262898182e-06
"X98",26.65,"real",0,"Hi",1.45864158319681e-06
"X98",26.75,"real",0,"Hi",1.42070686588426e-06
"X98",26.85,"real",0,"Hi",1.38388117143701e-06
"X98",26.95,"real",0,"Hi",1.34812852710804e-06
"X98",27.05,"real",0,"Hi",1.31341424118101e-06
"X98",27.15,"real",0,"Hi",1.27970485331851e-06
"X98",27.25,"real",0,"Hi",1.24696808698973e-06
"X98",27.35,"real",0,"Hi",1.21517280388415e-06
"X98",27.45,"real",0,"Hi",1.18428896022197e-06
"X98",27.55,"real",0,"Hi",1.15428756487682e-06
"X98",27.65,"real",0,"Hi",1.12514063922978e-06
"X98",27.75,"real",0,"Hi",1.09682117867797e-06
"X98",27.85,"real",0,"Hi",1.06930311572441e-06
"X98",27.95,"real",0,"Hi",1.04256128457942e-06
"X98",28.05,"real",0,"Hi",1.01657138720708e-06
"X98",28.15,"real",0,"Hi",9.91309960753322e-07
"X98",28.25,"real",0,"Hi",9.66754346295349e-07
"X98",28.35,"real",0,"Hi",9.42882658854799e-07
"X98",28.45,"real",0,"Hi",9.19673758619718e-07
"X98",28.55,"real",0,"Hi",8.97107223323026e-07
"X98",28.65,"real",0,"Hi",8.75163321727582e-07
"X98",28.75,"real",0,"Hi",8.53822988170168e-07
"X98",28.85,"real",0,"Hi",8.33067798119031e-07
"X98",28.95,"real",0,"Hi",8.12879944701578e-07
"X98",29.05,"real",0,"Hi",7.93242216160903e-07
"X98",29.15,"real",0,"Hi",7.74137974201643e-07
"X98",29.25,"real",0,"Hi",7.5555113318746e-07
"X98",29.35,"real",0,"Hi",7.37466140154206e-07
"X98",29.45,"real",0,"Hi",7.19867955604384e-07
"X98",29.55,"real",0,"Hi",7.02742035050112e-07
"X98",29.65,"real",0,"Hi",6.86074311273226e-07
"X98",29.75,"real",0,"Hi",6.69851177272624e-07
"X98",29.85,"real",0,"Hi",6.54059469870218e-07
"X98",29.95,"real",0,"Hi",6.38686453948183e-07
"X98",3.05,"real",0.395414237992307,"Hi",0.216908734622752
"X98",3.05,"simulated",0.230091846364373,"Hi",0.245868965405245
"X98",3.15,"real",0.370098727441018,"Hi",0.196754668361099
"X98",3.15,"simulated",0.212617797297347,"Hi",0.226177389891002
"X98",3.25,"real",0.351638152258533,"Hi",0.178449842510489
"X98",3.25,"simulated",0.194615260808336,"Hi",0.208091209249937
"X98",3.35,"real",0.334365548369742,"Hi",0.161846831981606
"X98",3.35,"simulated",0.177127043681682,"Hi",0.191494039821976
"X98",3.45,"real",0.322562619683237,"Hi",0.1468033862718
"X98",3.45,"simulated",0.165383725645516,"Hi",0.176273232363732
"X98",3.55,"real",0.311940748561464,"Hi",0.133184185841196
"X98",3.55,"simulated",0.155089709810271,"Hi",0.162321115429664
"X98",3.65,"real",0.29265799997783,"Hi",0.120861928067156
"X98",3.65,"simulated",0.139844174421913,"Hi",0.14953578288809
"X98",3.75,"real",0.292438573348769,"Hi",0.109717906906436
"X98",3.75,"simulated",0.132683950995924,"Hi",0.137821535689813
"X98",3.85,"real",0.26536718800007,"Hi",0.0996422179617669
"X98",3.85,"simulated",0.119656574225588,"Hi",0.127089065753224
"X98",3.95,"real",0.25285960630905,"Hi",0.0905336930322692
"X98",3.95,"simulated",0.111776844427431,"Hi",0.117255451272418
"X98",30.05,"real",0,"Hi",6.23719807291376e-07
"X98",30.15,"real",0,"Hi",6.09147606009969e-07
"X98",30.25,"real",0,"Hi",5.94958310518444e-07
"X98",30.35,"real",0,"Hi",5.81140752048097e-07
"X98",30.45,"real",0,"Hi",5.67684119671302e-07
"X98",30.55,"real",0,"Hi",5.54577947816616e-07
"X98",30.65,"real",0,"Hi",5.41812104254798e-07
