"variable","GND","type","data","alpha","model"
"X98",10.05,"real",0.0106390347771452,"Hi",0.00087795272386915
"X98",10.05,"simulated",0.00276546737409476,"Hi",0.00262654868709245
"X98",10.15,"real",0.0130127010865146,"Hi",0.000827750381321691
"X98",10.15,"simulated",0.00234324589136505,"Hi",0.0025045977803386
"X98",10.25,"real",0.0124842657229952,"Hi",0.000780746082269847
"X98",10.25,"simulated",0.00237771528914765,"Hi",0.00238914402102063
"X98",10.35,"real",0.0101542320705503,"Hi",0.000736715908847388
"X98",10.35,"simulated",0.00220798327689088,"Hi",0.0022797982217056
"X98",10.45,"real",0.0102849616361566,"Hi",0.000695452986073168
"X98",10.45,"simulated",0.00234032407910368,"Hi",0.00217619699439839
"X98",10.55,"real",0.0110986976451169,"Hi",0.000656766084771525
"X98",10.55,"simulated",0.00184344894722226,"Hi",0.00207800088198108
"X98",10.65,"real",0.00776451335988876,"Hi",0.000620478346885663
"X98",10.65,"simulated",0.00183117954080557,"Hi",0.00198489263593032
"X98",10.75,"real",0.00926334746008328,"Hi",0.000586426121754511
"X98",10.75,"simulated",0.00192196812111971,"Hi",0.0018965756280502
"X98",10.85,"real",0.00873553581780359,"Hi",0.000554457903131275
"X98",10.85,"simulated",0.00184761430996318,"Hi",0.00181277238505547
"X98",10.95,"real",0.00887574668688191,"Hi",0.000524433357673699
"X98",10.95,"simulated",0.00215451295463317,"Hi",0.00173322323580834
"X98",11.05,"real",0.014451498314119,"Hi",0.000496222436554702
"X98",11.05,"simulated",0.00157503559057457,"Hi",0.00165768506194438
"X98",11.15,"real",0.0159468677935167,"Hi",0.000469704562640881
"X98",11.15,"simulated",0.00167844925180972,"Hi",0.00158593014340057
"X98",11.25,"real",0.0129459274938713,"Hi",0.000444767886402797
"X98",11.25,"simulated",0.00155931923122412,"Hi",0.00151774509111878
"X98",11.35,"real",0.0160418347630775,"Hi",0.000421308604391076
"X98",11.35,"simulated",0.00145792705276613,"Hi",0.00145292985986102
"X98",11.45,"real",0.0135082032976524,"Hi",0.000399230334679169
"X98",11.45,"simulated",0.00142794002347248,"Hi",0.00139129683468281
"X98",11.55,"real",0.0126861228433696,"Hi",0.000378443544027018
"X98",11.55,"simulated",0.00139648000749584,"Hi",0.00133266998516471
"X98",11.65,"real",0.0129869261323961,"Hi",0.000358865023480467
"X98",11.65,"simulated",0.00130780515397737,"Hi",0.00127688408200521
"X98",11.75,"real",0.0171562114426842,"Hi",0.000340417404338594
"X98",11.75,"simulated",0.00145776681816309,"Hi",0.00122378397103628
"X98",11.85,"real",0.0152667403310877,"Hi",0.000323028717231167
"X98",11.85,"simulated",0.00137870294140079,"Hi",0.00117322390013966
"X98",11.95,"real",0.0116082072903082,"Hi",0.000306631984367689
"X98",11.95,"simulated",0.00130290629145184,"Hi",0.00112506689492156
"X98",12.05,"real",0.0133625797145474,"Hi",0.000291164845757873
"X98",12.05,"simulated",0.00130331082856027,"Hi",0.00107918417934936
"X98",12.15,"real",0.0156137197232051,"Hi",0.000276569215275976
"X98",12.15,"simulated",0.00137670126516861,"Hi",0.00103545463786915
"X98",12.25,"real",0.0120131931637217,"Hi",0.000262790964187467
"X98",12.25,"simulated",0.00121887911812016,"Hi",0.000993764315810536
"X98",12.35,"real",0.0124984083249541,"Hi",0.000249779629802802
"X98",12.35,"simulated",0.00125058082829231,"Hi",0.000954005955147187
"X98",12.45,"real",0.0093100441701884,"Hi",0.000237488147133254
"X98",12.45,"simulated",0.00116118718868293,"Hi",0.00091607856292348
"X98",12.55,"real",0.0131562820432198,"Hi",0.000225872601614121
"X98",12.55,"simulated",0.0012880055694677,"Hi",0.000879887009869176
"X98",12.65,"real",0.00943233998194874,"Hi",0.000214892001132923
"X98",12.65,"simulated",0.00128257857195925,"Hi",0.000845341656936215
"X98",12.75,"real",0.00868634836533913,"Hi",0.000204508065756441
"X98",12.75,"simulated",0.00125452262312568,"Hi",0.00081235800766211
"X98",12.85,"real",0.0104776089599822,"Hi",0.000194685033691981
"X98",12.85,"simulated",0.00124652116269693,"Hi",0.000780856384439078
"X98",12.95,"real",0.0091210172296411,"Hi",0.000185389482146741
"X98",12.95,"simulated",0.00115198145331179,"Hi",0.000750761626918569
"X98",13.05,"real",0.0107741713830154,"Hi",0.000176590161865677
"X98",13.05,"simulated",0.00131349636842356,"Hi",0.000722002810921249
"X98",13.15,"real",0.0105166269664111,"Hi",0.000168257844234112
"X98",13.15,"simulated",0.00124357100067349,"Hi",0.000694512986350796
"X98",13.25,"real",0.0109730740986116,"Hi",0.000160365179927448
"X98",13.25,"simulated",0.00102789090448125,"Hi",0.000668228932727449
"X98",13.35,"real",0.0104812522007401,"Hi",0.000152886568178157
"X98",13.35,"simulated",0.001230215247135,"Hi",0.000643090931065068
"X98",13.45,"real",0.00924206293894258,"Hi",0.000145798035808309
"X98",13.45,"simulated",0.00112608433048081,"Hi",0.000619042550914269
"X98",13.55,"real",0.00886077547946058,"Hi",0.000139077125250632
"X98",13.55,"simulated",0.00111404011625495,"Hi",0.000596030451485023
"X98",13.65,"real",0.00796298254676344,"Hi",0.000132702790844422
"X98",13.65,"simulated",0.00100430213012659,"Hi",0.000574004195845341
"X98",13.75,"real",0.0078293676241359,"Hi",0.000126655302754106
"X98",13.75,"simulated",0.000961865771383844,"Hi",0.000552916077269206
"X98",13.85,"real",0.0075033731656898,"Hi",0.000120916157912368
"X98",13.85,"simulated",0.00107553615046048,"Hi",0.000532720957315837
"X98",13.95,"real",0.00702125900880616,"Hi",0.000115467997439607
"X98",13.95,"simulated",0.00100311824387431,"Hi",0.000513376111778229
"X98",14.05,"real",0.00739220440610747,"Hi",0.000110294530036926
"X98",14.05,"simulated",0.00170835236441892,"Hi",0.00049484109297892
"X98",14.15,"real",0.00628947253243984,"Hi",0.000105380460891293
"X98",14.15,"simulated",0.000845488232164219,"Hi",0.000477077592384641
"X98",14.25,"real",0.00620929055396961,"Hi",0.000100711425669335
"X98",14.35,"real",0.00453138263155474,"Hi",9.62739292107984e-05
"X98",14.45,"real",0.00478273433016622,"Hi",9.20552885642891e-05
"X98",14.55,"real",0.00368300223799284,"Hi",8.80435800367361e-05
"X98",14.65,"real",0.0034754738742586,"Hi",8.42275899545139e-05
"X98",14.75,"real",0.00282112793863793,"Hi",8.05967688581747e-05
"X98",14.85,"real",0.00251458172962819,"Hi",7.71411888750297e-05
"X98",14.95,"real",0.00228244655783461,"Hi",7.38515040339365e-05
"X98",15.05,"real",0.00184159180047828,"Hi",7.07189133052865e-05
"X98",15.15,"real",0.00176246021570596,"Hi",6.77351261661737e-05
"X98",15.25,"real",0.00155861856449486,"Hi",6.48923305063356e-05
"X98",15.35,"real",0.00136669025165041,"Hi",6.21831627047734e-05
"X98",15.45,"real",0.00125041404273736,"Hi",5.96006797200959e-05
"X98",15.55,"real",0.00114578426773162,"Hi",5.71383330497033e-05
"X98",15.65,"real",0.00116469667867627,"Hi",5.47899444240034e-05
"X98",15.75,"real",0.00103324373729332,"Hi",5.25496831120487e-05
"X98",15.85,"real",0.00082077366971044,"Hi",5.04120447243433e-05
"X98",15.95,"real",0.000642244468380552,"Hi",4.83718314071924e-05
"X98",16.05,"real",0.000633464621009879,"Hi",4.64241333308716e-05
"X98",16.15,"real",0.00062081986696939,"Hi",4.45643113812292e-05
"X98",16.25,"real",0.000633265104721542,"Hi",4.27879809710201e-05
"X98",16.35,"real",0.000577630384284986,"Hi",4.10909968934787e-05
"X98",16.45,"real",0.00056372019341971,"Hi",3.94694391463457e-05
"X98",16.55,"real",0.00053829298877759,"Hi",3.79195996598121e-05
"X98",16.65,"real",0.000498942650898937,"Hi",3.64379698667183e-05
"X98",16.75,"real",0.000461474234778261,"Hi",3.50212290578037e-05
"X98",16.85,"real",0.00039628405061915,"Hi",3.36662334689482e-05
"X98",16.95,"real",0.000322748727013962,"Hi",3.23700060511604e-05
"X98",17.05,"real",0.000287526258563251,"Hi",3.11297268775944e-05
"X98",17.15,"real",0.0002414296191953,"Hi",2.99427241484875e-05
"X98",17.25,"real",0.000200539087294574,"Hi",2.88064657344726e-05
"X98",17.35,"real",0.000175872870789593,"Hi",2.77185512717671e-05
"X98",17.45,"real",0.000145675999298701,"Hi",2.66767047084969e-05
"X98",17.55,"real",0.000112077760408799,"Hi",2.56787673201883e-05
"X98",17.65,"real",0.000112949414109352,"Hi",2.47226911452004e-05
