"","GND","Low","Med","Hi","real_mean","real_count"
"37",3.75,0.0574197424990555,0.0228004093885558,0.00886608188561817,0.141445555042119,82
"38",3.85,0.0538383311637071,0.0207261319178626,0.00778470587283782,0.121257722802728,61
"39",3.95,0.0505387007655262,0.0188695420639306,0.00684798365763535,0.11054465484507,56
"40",4.05,0.04749443143789,0.0172049946771299,0.00603499880531795,0.104846541365095,64
"41",4.15,0.0446819440374493,0.0157101644241635,0.00532806336680018,0.0868054486201195,59
"42",4.25,0.0420801598916851,0.014365582012654,0.00471219204483056,0.0843236887580142,62
"43",4.35,0.0396702047845326,0.0131542391646519,0.00417466571173666,0.0754978167140891,97
"44",4.45,0.0374351511862643,0.0120612517161022,0.00370466861854975,0.0749772085692463,122
"45",4.55,0.0353597934134807,0.0110735718924996,0.00329298644624634,0.0713102453195535,178
"46",4.65,0.0334304512244416,0.0101797422247415,0.00293175462704099,0.0656415718285347,192
"47",4.75,0.0316347979901573,0.00936968476032566,0.00261424824260786,0.0618358827239701,236
"48",4.85,0.0299617101324798,0.00863452022664794,0.00233470634942238,0.054524107848936,241
"49",4.95,0.028401134990657,0.00796641264434471,0.00208818484766312,0.0522755040244537,304
"50",5.05,0.0269439746790573,0.00735843559459306,0.00187043304845181,0.0496679125906496,280
"51",5.15,0.0255819838411555,0.00680445693664275,0.00167778994554057,0.0451243760765321,269
"52",5.25,0.0243076794971029,0.00629903926892662,0.00150709689569764,0.0412560523978121,255
"53",5.35,0.0231142614317657,0.00583735384438123,0.00135562398484104,0.0342398943774969,187
"54",5.45,0.0219955417833982,0.00541510600112978,0.00122100782724473,0.0337610954884383,161
"55",5.55,0.0209458826755412,0.00502847046434956,0.00110119893160734,0.0279660468102405,125
"56",5.65,0.0199601408909487,0.00467403512313483,0.000994417085662618,0.0271385139299305,90
"57",5.75,0.0190336187202344,0.00434875209483169,0.000899113472830183,0.0246028224401627,99
"58",5.85,0.0181620202328401,0.00404989506608714,0.000813938450281628,0.0186641599661121,82
"59",5.95,0.0173414123166707,0.0037750220475834,0.000737714096052122,0.0213722249596454,99
"60",6.05,0.016568189917694,0.00352194280619777,0.000669410780211682,0.0204791569324748,88
"61",6.15,0.0158390449839982,0.00328869034419764,0.000608127137150965,0.0186178627034563,88
"62",6.25,0.015150938681946,0.00307349588556395,0.000553072917239935,0.0311085572870546,98
"63",6.35,0.0145010765066189,0.0028747669061324,0.000503554280170008,0.0250296589943083,104
"64",6.45,0.0138868859559417,0.0026910678094162,0.000458961162205407,0.0190801356342532,80
"65",6.55,0.0133059964787609,0.00252110290545402,0.000418756407815351,0.0292145662683855,99
"66",6.65,0.0127562214426315,0.00236370139733958,0.00038246640476031,0.0240366932192181,95
"67",6.75,0.0122355418978756,0.00221780412049117,0.000349673002321534,0.0223645547905156,96
"68",6.85,0.0117420919412948,0.00208245181427134,0.000320006526361587,0.0190800445223972,102
"69",6.95,0.0112741455062769,0.00195677473515954,0.000293139733405398,0.0170220668771359,109
"70",7.05,0.010830104417262,0.00183998344606107,0.000268782569863953,0.0193097105748609,79
"71",7.15,0.0104084876372793,0.00173136063813713,0.000246677622649431,0.017831190128478,122
"72",7.25,0.0100079213984836,0.00163025386029245,0.000226596164383541,0.0150853088313778,90
"73",7.35,0.00962713042560823,0.00153606904761094,0.000208334710701583,0.0134099349325467,105
"74",7.45,0.00926492984535464,0.00144826475396315,0.000191712019242421,0.0145089030359327,108
"75",7.55,0.00892021788347748,0.00136634700604624,0.000176566470101586,0.0121469943979113,104
"76",7.65,0.00859196921549656,0.00128986470652833,0.000162753776318216,0.00985922135819521,114
"77",7.75,0.00827922891281394,0.00121840552298815,0.000150144980061583,0.00949016443735151,102
"78",7.85,0.00798110692559293,0.00115159220716267,0.000138624696755889,0.011543892820635,122
"79",7.95,0.00769677304989691,0.00108907929580976,0.00012808957444365,0.00880613697714358,93
"80",8.05,0.00742545233218362,0.00103055015040105,0.000118446940351921,0.010058926670455,97
"81",8.15,0.0071664208692049,0.000975714298005222,0.000109613610459776,0.00606973403304302,103
"82",8.25,0.0069190019657504,0.000924305040208151,0.000101514841179101,0.00768667560083427,99
